ObjectiveFunction;Configuration;Performance;ManufactureCost;Area;Yield
2.85515;12 8 16 4096 2 1 0 0 0;0.861064;3.31584;63.4891;0.87864
3.04138;12 8 16 4096 2 2 0 0 0;0.861823;3.52901;67.1318;0.874942
5.84923;12 8 16 4096 32 2 0 0 0;0.944057;6.19585;109.599;0.832962
13.8666;12 8 16 4096 32 32 0 0 0;0.942776;14.7083;218.879;0.733962
6.31359;12 8 16 4096 32 4 0 0 0;0.94407;6.68763;116.884;0.825965
7.26274;12 8 16 4096 32 8 0 0 0;0.942949;7.70216;131.455;0.812147
2.97645;12 8 16 4096 4 1 0 0 0;0.85498;3.48131;66.3202;0.875765
3.13961;12 8 16 4096 4 2 0 0 0;0.849376;3.69637;69.9629;0.872079
3.51686;12 8 16 4096 4 4 0 0 0;0.850752;4.13382;77.2483;0.864753
9.39779;12 8 16 4096 64 2 0 0 0;0.997322;9.42303;154.897;0.7904
18.8417;12 8 16 4096 64 32 0 0 0;0.991041;19.012;264.177;0.696459
9.97623;12 8 16 4096 64 4 0 0 0;0.999558;9.98065;162.182;0.783761
11.0976;12 8 16 4096 64 8 0 0 0;0.997165;11.1291;176.753;0.770649
3.26573;12 8 16 4096 8 1 0 0 0;0.855652;3.81666;71.9825;0.870042
3.42856;12 8 16 4096 8 2 0 0 0;0.849596;4.03552;75.6252;0.86638
3.80161;12 8 16 4096 8 4 0 0 0;0.848462;4.48059;82.9105;0.859103
4.60606;12 8 16 4096 8 8 0 0 0;0.852912;5.4004;97.4813;0.844731
3.14033;16 16 16 4096 1 1 0 0 0;0.803422;3.90869;72.9581;0.861575
4.53989;16 16 16 4096 16 1 0 0 0;0.797155;5.69511;101.269;0.83379
8.81185;16 16 16 4096 16 16 0 0 0;0.800103;11.0134;174.123;0.766342
4.78618;16 16 16 4096 16 2 0 0 0;0.795462;6.01686;106.126;0.829115
5.30875;16 16 16 4096 16 4 0 0 0;0.795436;6.67401;115.84;0.819842
6.41209;16 16 16 4096 16 8 0 0 0;0.797144;8.04383;135.268;0.801606
3.20756;16 16 16 4096 2 1 0 0 0;0.797284;4.02311;74.8455;0.859694
3.44061;16 16 16 4096 2 2 0 0 0;0.796328;4.3206;79.7024;0.854873
6.68009;16 16 16 4096 32 2 0 0 0;0.822618;8.12053;136.325;0.800625
17.5203;16 16 16 4096 32 32 0 0 0;0.833209;21.0275;282.032;0.676333
7.3049;16 16 16 4096 32 4 0 0 0;0.826737;8.83582;146.039;0.791671
