ObjectiveFunction;Configuration;Performance;ManufactureCost;Area;Yield
12.8514;12 64 16 4096 64 8 3 3 0;0.773212;16.6208;297.962;0.90874
13.7409;12 64 16 4096 64 8 3 4 0;0.773212;17.7712;316.671;0.90874
14.6386;12 64 16 4096 64 8 3 5 0;0.773212;18.9322;335.38;0.90874
15.5445;12 64 16 4096 64 8 3 6 0;0.773212;20.1038;354.089;0.90874
16.4584;12 64 16 4096 64 8 3 7 0;0.773212;21.2857;372.798;0.90874
4.32703;12 64 16 4096 8 1 0 0 0;0.780569;5.54344;97.4975;0.823077
4.49789;12 64 16 4096 8 1 0 0 1;0.780569;5.76232;106.021;0.864836
4.12834;12 64 16 4096 8 1 1 0 0;0.780569;5.28889;101.956;0.904236
4.29808;12 64 16 4096 8 1 2 0 0;0.780569;5.50635;106.414;0.908571
4.66765;12 64 16 4096 8 1 2 0 1;0.780569;5.97981;114.937;0.907488
4.48735;12 64 16 4096 8 1 3 0 0;0.780569;5.74882;110.872;0.908737
4.47798;12 64 16 4096 8 2 0 0 0;0.773953;5.78585;101.14;0.819613
4.48214;12 64 16 4096 8 2 0 0 1;0.773953;5.79123;106.313;0.863013
4.79697;12 64 16 4096 8 2 0 1 0;0.773953;6.19801;110.445;0.839457
4.26216;12 64 16 4096 8 2 1 0 0;0.773953;5.507;105.902;0.903858
4.68119;12 64 16 4096 8 2 1 1 0;0.773953;6.04841;115.982;0.905812
4.44142;12 64 16 4096 8 2 2 0 0;0.773953;5.73862;110.664;0.908549
4.66688;12 64 16 4096 8 2 2 0 1;0.773953;6.02992;115.836;0.907381
4.90241;12 64 16 4096 8 2 2 1 0;0.773953;6.33424;121.519;0.908653
4.64246;12 64 16 4096 8 2 3 0 0;0.773953;5.99837;115.425;0.908736
5.13872;12 64 16 4096 8 2 3 1 0;0.773953;6.63958;127.056;0.90874
4.83901;12 64 16 4096 8 4 0 0 0;0.770735;6.27844;108.426;0.812729
4.7322;12 64 16 4096 8 4 0 0 1;0.770735;6.13986;111.922;0.859372
4.98071;12 64 16 4096 8 4 0 1 0;0.770735;6.46229;114.899;0.839441
5.27754;12 64 16 4096 8 4 0 2 0;0.770735;6.84742;121.373;0.839485
5.57605;12 64 16 4096 8 4 0 3 0;0.770735;7.23472;127.847;0.839485
4.58281;12 64 16 4096 8 4 1 0 0;0.770735;5.94603;113.794;0.903061
4.867;12 64 16 4096 8 4 1 1 0;0.770735;6.31476;120.808;0.905811
5.16662;12 64 16 4096 8 4 1 2 0;0.770735;6.7035;127.821;0.905814
5.46776;12 64 16 4096 8 4 1 3 0;0.770735;7.09422;134.834;0.905814
4.78277;12 64 16 4096 8 4 2 0 0;0.770735;6.20547;119.163;0.908499
4.93868;12 64 16 4096 8 4 2 0 1;0.770735;6.40775;122.66;0.907154
5.10332;12 64 16 4096 8 4 2 1 0;0.770735;6.62137;126.716;0.908653
5.42642;12 64 16 4096 8 4 2 2 0;0.770735;7.04058;134.269;0.908653
5.75123;12 64 16 4096 8 4 2 3 0;0.770735;7.46201;141.821;0.908653
5.00976;12 64 16 4096 8 4 3 0 0;0.770735;6.49999;124.532;0.908734
5.35541;12 64 16 4096 8 4 3 1 0;0.770735;6.94844;132.624;0.90874
5.70305;12 64 16 4096 8 4 3 2 0;0.770735;7.3995;140.716;0.90874
6.05263;12 64 16 4096 8 4 3 3 0;0.770735;7.85307;148.809;0.90874
5.62542;12 64 16 4096 8 8 0 0 0;0.771132;7.29501;122.996;0.799132
5.39639;12 64 16 4096 8 8 0 0 1;0.771132;6.99801;125.655;0.852129
5.58915;12 64 16 4096 8 8 0 1 0;0.771132;7.24798;128.055;0.839391
5.82288;12 64 16 4096 8 8 0 2 0;0.771132;7.55108;133.113;0.839485
6.05806;12 64 16 4096 8 8 0 3 0;0.771132;7.85606;138.171;0.839485
6.29407;12 64 16 4096 8 8 0 4 0;0.771132;8.16212;143.229;0.839485
6.53089;12 64 16 4096 8 8 0 5 0;0.771132;8.46922;148.287;0.839485
6.76851;12 64 16 4096 8 8 0 6 0;0.771132;8.77737;153.346;0.839485
7.00693;12 64 16 4096 8 8 0 7 0;0.771132;9.08655;158.404;0.839485
5.27095;12 64 16 4096 8 8 1 0 0;0.771132;6.83534;129.579;0.901301
5.48031;12 64 16 4096 8 8 1 1 0;0.771132;7.10684;135.059;0.905806
5.71675;12 64 16 4096 8 8 1 2 0;0.771132;7.41345;140.539;0.905814
5.95411;12 64 16 4096 8 8 1 3 0;0.771132;7.72126;146.019;0.905814
6.19236;12 64 16 4096 8 8 1 4 0;0.771132;8.03022;151.498;0.905814
6.43148;12 64 16 4096 8 8 1 5 0;0.771132;8.34031;156.978;0.905814
6.67145;12 64 16 4096 8 8 1 6 0;0.771132;8.6515;162.458;0.905814
6.91227;12 64 16 4096 8 8 1 7 0;0.771132;8.9638;167.938;0.905814
5.51221;12 64 16 4096 8 8 2 0 0;0.771132;7.14821;136.162;0.908376
5.63734;12 64 16 4096 8 8 2 0 1;0.771132;7.31048;138.821;0.906649
5.76464;12 64 16 4096 8 8 2 1 0;0.771132;7.47556;142.064;0.908653
6.01977;12 64 16 4096 8 8 2 2 0;0.771132;7.80641;147.965;0.908653
6.27591;12 64 16 4096 8 8 2 3 0;0.771132;8.13857;153.866;0.908653
6.53305;12 64 16 4096 8 8 2 4 0;0.771132;8.47202;159.767;0.908653
6.79117;12 64 16 4096 8 8 2 5 0;0.771132;8.80676;165.669;0.908653
7.05027;12 64 16 4096 8 8 2 6 0;0.771132;9.14275;171.57;0.908653
7.31033;12 64 16 4096 8 8 2 7 0;0.771132;9.48;177.471;0.908653
5.79358;12 64 16 4096 8 8 3 0 0;0.771132;7.51309;142.745;0.908728
6.067;12 64 16 4096 8 8 3 1 0;0.771132;7.86765;149.068;0.90874
6.34165;12 64 16 4096 8 8 3 2 0;0.771132;8.22381;155.391;0.90874
6.61744;12 64 16 4096 8 8 3 3 0;0.771132;8.58146;161.714;0.90874
6.89435;12 64 16 4096 8 8 3 4 0;0.771132;8.94056;168.037;0.90874
7.17239;12 64 16 4096 8 8 3 5 0;0.771132;9.30111;174.359;0.90874
7.45152;12 64 16 4096 8 8 3 6 0;0.771132;9.66309;180.682;0.90874
7.73174;12 64 16 4096 8 8 3 7 0;0.771132;10.0265;187.005;0.90874
2.84008;12 8 16 4096 1 1 0 0 0;0.878289;3.23365;62.0736;0.880081
2.96239;12 8 16 4096 1 1 0 0 1;0.878289;3.37291;65.6428;0.894295
2.82151;12 8 16 4096 1 1 1 0 0;0.878289;3.21251;63.5797;0.908248
2.88956;12 8 16 4096 1 1 2 0 0;0.878289;3.28999;65.0858;0.908736
3.05526;12 8 16 4096 1 1 2 0 1;0.878289;3.47865;68.6551;0.908608
2.95921;12 8 16 4096 1 1 3 0 0;0.878289;3.36929;66.592;0.908743
3.93646;12 8 16 4096 16 1 0 0 0;0.87378;4.50509;83.307;0.858708
4.51312;12 8 16 4096 16 1 0 0 1;0.87378;5.16506;97.493;0.883332
3.87956;12 8 16 4096 16 1 1 0 0;0.87378;4.43997;86.5826;0.907225
4.02701;12 8 16 4096 16 1 2 0 0;0.87378;4.60872;89.8582;0.908709
4.69981;12 8 16 4096 16 1 2 0 1;0.87378;5.37871;104.044;0.908325
4.18107;12 8 16 4096 16 1 3 0 0;0.87378;4.78503;93.1337;0.908742
7.22823;12 8 16 4096 16 16 0 0 0;0.884977;8.16771;137.947;0.806065
6.94516;12 8 16 4096 16 16 0 0 1;0.884977;7.84785;140.541;0.855691
6.82479;12 8 16 4096 16 16 0 1 0;0.884977;7.71182;143.005;0.887026
9.16634;12 8 16 4096 16 16 0 10 0;0.884977;10.3577;188.53;0.887386
9.43096;12 8 16 4096 16 16 0 11 0;0.884977;10.6567;193.588;0.887386
9.69639;12 8 16 4096 16 16 0 12 0;0.884977;10.9567;198.646;0.887386
9.96261;12 8 16 4096 16 16 0 13 0;0.884977;11.2575;203.704;0.887386
10.2296;12 8 16 4096 16 16 0 14 0;0.884977;11.5592;208.763;0.887386
10.4974;12 8 16 4096 16 16 0 15 0;0.884977;11.8618;213.821;0.887386
7.0791;12 8 16 4096 16 16 0 2 0;0.884977;7.99919;148.064;0.887385
7.33704;12 8 16 4096 16 16 0 3 0;0.884977;8.29065;153.122;0.887386
7.59584;12 8 16 4096 16 16 0 4 0;0.884977;8.5831;158.18;0.887386
7.85551;12 8 16 4096 16 16 0 5 0;0.884977;8.87651;163.238;0.887386
8.11601;12 8 16 4096 16 16 0 6 0;0.884977;9.17087;168.297;0.887386
8.37736;12 8 16 4096 16 16 0 7 0;0.884977;9.46619;173.355;0.887386
8.63953;12 8 16 4096 16 16 0 8 0;0.884977;9.76244;178.413;0.887386
8.90253;12 8 16 4096 16 16 0 9 0;0.884977;10.0596;183.471;0.887386
6.84818;12 8 16 4096 16 16 1 0 0;0.884977;7.73825;145.776;0.902229
7.07379;12 8 16 4096 16 16 1 1 0;0.884977;7.99319;151.256;0.908459
9.57037;12 8 16 4096 16 16 1 10 0;0.884977;10.8143;200.574;0.908469
9.85244;12 8 16 4096 16 16 1 11 0;0.884977;11.133;206.054;0.908469
10.1354;12 8 16 4096 16 16 1 12 0;0.884977;11.4527;211.533;0.908469
10.4193;12 8 16 4096 16 16 1 13 0;0.884977;11.7735;217.013;0.908469
10.704;12 8 16 4096 16 16 1 14 0;0.884977;12.0953;222.493;0.908469
10.9897;12 8 16 4096 16 16 1 15 0;0.884977;12.418;227.973;0.908469
7.34729;12 8 16 4096 16 16 1 2 0;0.884977;8.30224;156.736;0.908469
7.62184;12 8 16 4096 16 16 1 3 0;0.884977;8.61247;162.215;0.908469
7.89736;12 8 16 4096 16 16 1 4 0;0.884977;8.92381;167.695;0.908469
8.17385;12 8 16 4096 16 16 1 5 0;0.884977;9.23623;173.175;0.908469
8.45128;12 8 16 4096 16 16 1 6 0;0.884977;9.54972;178.655;0.908469
8.72966;12 8 16 4096 16 16 1 7 0;0.884977;9.86428;184.135;0.908469
9.00898;12 8 16 4096 16 16 1 8 0;0.884977;10.1799;189.614;0.908469
9.28922;12 8 16 4096 16 16 1 9 0;0.884977;10.4966;195.094;0.908469
7.19108;12 8 16 4096 16 16 2 0 0;0.884977;8.12572;153.605;0.908443
7.33308;12 8 16 4096 16 16 2 0 1;0.884977;8.28618;156.199;0.906906
7.48375;12 8 16 4096 16 16 2 1 0;0.884977;8.45644;159.506;0.90874
10.1885;12 8 16 4096 16 16 2 10 0;0.884977;11.5127;212.618;0.90874
10.4943;12 8 16 4096 16 16 2 11 0;0.884977;11.8583;218.519;0.90874
10.8012;12 8 16 4096 16 16 2 12 0;0.884977;12.205;224.421;0.90874
11.1091;12 8 16 4096 16 16 2 13 0;0.884977;12.553;230.322;0.90874
11.418;12 8 16 4096 16 16 2 14 0;0.884977;12.902;236.223;0.90874
11.7279;12 8 16 4096 16 16 2 15 0;0.884977;13.2522;242.124;0.90874
7.7799;12 8 16 4096 16 16 2 2 0;0.884977;8.79108;165.408;0.90874
8.07718;12 8 16 4096 16 16 2 3 0;0.884977;9.12699;171.309;0.90874
8.37556;12 8 16 4096 16 16 2 4 0;0.884977;9.46415;177.21;0.90874
8.67503;12 8 16 4096 16 16 2 5 0;0.884977;9.80255;183.112;0.90874
8.97559;12 8 16 4096 16 16 2 6 0;0.884977;10.1422;189.013;0.90874
9.27723;12 8 16 4096 16 16 2 7 0;0.884977;10.483;194.914;0.90874
9.57993;12 8 16 4096 16 16 2 8 0;0.884977;10.8251;200.815;0.90874
9.88368;12 8 16 4096 16 16 2 9 0;0.884977;11.1683;206.717;0.90874
7.58044;12 8 16 4096 16 16 3 0 0;0.884977;8.56569;161.434;0.908731
7.89809;12 8 16 4096 16 16 3 1 0;0.884977;8.92462;167.757;0.908743
10.8137;12 8 16 4096 16 16 3 10 0;0.884977;12.2192;224.662;0.908743
11.1437;12 8 16 4096 16 16 3 11 0;0.884977;12.5921;230.985;0.908743
11.4748;12 8 16 4096 16 16 3 12 0;0.884977;12.9663;237.308;0.908743
11.8071;12 8 16 4096 16 16 3 13 0;0.884977;13.3417;243.631;0.908743
12.1406;12 8 16 4096 16 16 3 14 0;0.884977;13.7185;249.953;0.908743
12.4751;12 8 16 4096 16 16 3 15 0;0.884977;14.0966;256.276;0.908743
8.21711;12 8 16 4096 16 16 3 2 0;0.884977;9.28511;174.08;0.908743
8.53739;12 8 16 4096 16 16 3 3 0;0.884977;9.64702;180.402;0.908743
8.85893;12 8 16 4096 16 16 3 4 0;0.884977;10.0104;186.725;0.908743
9.18171;12 8 16 4096 16 16 3 5 0;0.884977;10.3751;193.048;0.908743
9.50571;12 8 16 4096 16 16 3 6 0;0.884977;10.7412;199.371;0.908743
9.83092;12 8 16 4096 16 16 3 7 0;0.884977;11.1087;205.694;0.908743
10.1573;12 8 16 4096 16 16 3 8 0;0.884977;11.4775;212.016;0.908743
10.4849;12 8 16 4096 16 16 3 9 0;0.884977;11.8477;218.339;0.908743
4.13504;12 8 16 4096 16 2 0 0 0;0.873922;4.73159;86.9497;0.855094
4.39963;12 8 16 4096 16 2 0 0 1;0.873922;5.03434;94.9534;0.881473
4.70835;12 8 16 4096 16 2 0 1 0;0.873922;5.38761;101.917;0.887313
4.06688;12 8 16 4096 16 2 1 0 0;0.873922;4.6536;90.5288;0.906995
4.82838;12 8 16 4096 16 2 1 1 0;0.873922;5.52495;106.743;0.908467
4.22789;12 8 16 4096 16 2 2 0 0;0.873922;4.83783;94.108;0.908702
4.60901;12 8 16 4096 16 2 2 0 1;0.873922;5.27394;102.112;0.908261
5.05738;12 8 16 4096 16 2 2 1 0;0.873922;5.78699;111.57;0.90874
4.39683;12 8 16 4096 16 2 3 0 0;0.873922;5.03114;97.6871;0.908742
5.28866;12 8 16 4096 16 2 3 1 0;0.873922;6.05164;116.396;0.908743
4.55406;12 8 16 4096 16 4 0 0 0;0.877126;5.19203;94.235;0.847912
4.6406;12 8 16 4096 16 4 0 0 1;0.877126;5.29068;99.1476;0.877753
4.80499;12 8 16 4096 16 4 0 1 0;0.877126;5.47811;103.54;0.887292
5.2608;12 8 16 4096 16 4 0 2 0;0.877126;5.99777;112.845;0.887386
5.72032;12 8 16 4096 16 4 0 3 0;0.877126;6.52167;122.15;0.887386
4.45888;12 8 16 4096 16 4 1 0 0;0.877126;5.0835;98.4213;0.90649
4.93028;12 8 16 4096 16 4 1 1 0;0.877126;5.62095;108.502;0.908466
5.4151;12 8 16 4096 16 4 1 2 0;0.877126;6.17368;118.582;0.908469
5.90355;12 8 16 4096 16 4 1 3 0;0.877126;6.73055;128.662;0.908469
4.64741;12 8 16 4096 16 4 2 0 0;0.877126;5.29845;102.608;0.908682
4.88513;12 8 16 4096 16 4 2 0 1;0.877126;5.56947;107.52;0.90812
5.16691;12 8 16 4096 16 4 2 1 0;0.877126;5.89072;113.463;0.90874
5.69095;12 8 16 4096 16 4 2 2 0;0.877126;6.48818;124.319;0.90874
6.21913;12 8 16 4096 16 4 2 3 0;0.877126;7.09034;135.175;0.90874
4.84704;12 8 16 4096 16 4 3 0 0;0.877126;5.52604;106.794;0.908741
5.40589;12 8 16 4096 16 4 3 1 0;0.877126;6.16318;118.425;0.908743
5.96956;12 8 16 4096 16 4 3 2 0;0.877126;6.80582;130.056;0.908743
6.5379;12 8 16 4096 16 4 3 3 0;0.877126;7.45377;141.687;0.908743
5.409;12 8 16 4096 16 8 0 0 0;0.880523;6.14294;108.806;0.833727
5.3507;12 8 16 4096 16 8 0 0 1;0.880523;6.07674;112.173;0.870348
5.40254;12 8 16 4096 16 8 0 1 0;0.880523;6.1356;115.28;0.887226
5.72276;12 8 16 4096 16 8 0 2 0;0.880523;6.49927;121.753;0.887386
6.04546;12 8 16 4096 16 8 0 3 0;0.880523;6.86577;128.227;0.887386
6.36966;12 8 16 4096 16 8 0 4 0;0.880523;7.23395;134.701;0.887386
6.69533;12 8 16 4096 16 8 0 5 0;0.880523;7.60381;141.175;0.887386
7.02244;12 8 16 4096 16 8 0 6 0;0.880523;7.97531;147.649;0.887386
7.35097;12 8 16 4096 16 8 0 7 0;0.880523;8.34842;154.122;0.887386
5.24263;12 8 16 4096 16 8 1 0 0;0.880523;5.95399;114.206;0.9053
5.56404;12 8 16 4096 16 8 1 1 0;0.880523;6.31902;121.22;0.908465
5.90544;12 8 16 4096 16 8 1 2 0;0.880523;6.70674;128.233;0.908469
6.24857;12 8 16 4096 16 8 1 3 0;0.880523;7.09643;135.246;0.908469
6.59338;12 8 16 4096 16 8 1 4 0;0.880523;7.48803;142.259;0.908469
6.93984;12 8 16 4096 16 8 1 5 0;0.880523;7.88151;149.273;0.908469
7.28793;12 8 16 4096 16 8 1 6 0;0.880523;8.27682;156.286;0.908469
7.63762;12 8 16 4096 16 8 1 7 0;0.880523;8.67396;163.299;0.908469
5.48479;12 8 16 4096 16 8 2 0 0;0.880523;6.22901;119.607;0.908628
5.65351;12 8 16 4096 16 8 2 0 1;0.880523;6.42062;122.974;0.907785
5.85133;12 8 16 4096 16 8 2 1 0;0.880523;6.64529;127.16;0.90874
6.22054;12 8 16 4096 16 8 2 2 0;0.880523;7.06459;134.712;0.90874
6.59169;12 8 16 4096 16 8 2 3 0;0.880523;7.48611;142.265;0.90874
6.96476;12 8 16 4096 16 8 2 4 0;0.880523;7.9098;149.818;0.90874
7.33972;12 8 16 4096 16 8 2 5 0;0.880523;8.33563;157.371;0.90874
7.71652;12 8 16 4096 16 8 2 6 0;0.880523;8.76357;164.923;0.90874
8.09515;12 8 16 4096 16 8 2 7 0;0.880523;9.19358;172.476;0.90874
5.74648;12 8 16 4096 16 8 3 0 0;0.880523;6.52622;125.007;0.90874
6.14151;12 8 16 4096 16 8 3 1 0;0.880523;6.97485;133.099;0.908743
6.53881;12 8 16 4096 16 8 3 2 0;0.880523;7.42606;141.192;0.908743
6.93831;12 8 16 4096 16 8 3 3 0;0.880523;7.87976;149.284;0.908743
7.33998;12 8 16 4096 16 8 3 4 0;0.880523;8.33593;157.376;0.908743
7.74377;12 8 16 4096 16 8 3 5 0;0.880523;8.79451;165.469;0.908743
8.14965;12 8 16 4096 16 8 3 6 0;0.880523;9.25547;173.561;0.908743
8.5576;12 8 16 4096 16 8 3 7 0;0.880523;9.71877;181.653;0.908743
2.85515;12 8 16 4096 2 1 0 0 0;0.861064;3.31584;63.4891;0.87864
3.00469;12 8 16 4096 2 1 0 0 1;0.861064;3.48951;67.7662;0.893561
2.83581;12 8 16 4096 2 1 1 0 0;0.861064;3.29339;65.1132;0.908197
2.90779;12 8 16 4096 2 1 2 0 0;0.861064;3.37698;66.7373;0.908735
3.1028;12 8 16 4096 2 1 2 0 1;0.861064;3.60345;71.0144;0.908594
2.98154;12 8 16 4096 2 1 3 0 0;0.861064;3.46263;68.3614;0.908743
3.04138;12 8 16 4096 2 2 0 0 0;0.861823;3.52901;67.1318;0.874942
3.12573;12 8 16 4096 2 2 0 0 1;0.861823;3.62688;70.181;0.891677
3.23473;12 8 16 4096 2 2 0 1 0;0.861823;3.75336;72.19;0.887376
3.01823;12 8 16 4096 2 2 1 0 0;0.861823;3.50215;69.0595;0.908054
3.26704;12 8 16 4096 2 2 1 1 0;0.861823;3.79085;74.5392;0.908468
3.10382;12 8 16 4096 2 2 2 0 0;0.861823;3.60145;70.9871;0.908732
3.24372;12 8 16 4096 2 2 2 0 1;0.861823;3.76379;74.0363;0.908555
3.37367;12 8 16 4096 2 2 2 1 0;0.861823;3.91458;76.8884;0.90874
3.19178;12 8 16 4096 2 2 3 0 0;0.861823;3.70352;72.9148;0.908742
3.48149;12 8 16 4096 2 2 3 1 0;0.861823;4.03969;79.2376;0.908743
5.84923;12 8 16 4096 32 2 0 0 0;0.944057;6.19585;109.599;0.832962
6.34112;12 8 16 4096 32 2 0 0 1;0.944057;6.71688;123.265;0.869919
6.89497;12 8 16 4096 32 2 0 1 0;0.944057;7.30355;135.89;0.88717
5.66601;12 8 16 4096 32 2 1 0 0;0.944057;6.00177;115.065;0.905229
7.13728;12 8 16 4096 32 2 1 1 0;0.944057;7.56023;143.548;0.908463
5.92867;12 8 16 4096 32 2 2 0 0;0.944057;6.28;120.532;0.908625
6.64949;12 8 16 4096 32 2 2 0 1;0.944057;7.04353;134.198;0.907763
7.54101;12 8 16 4096 32 2 2 1 0;0.944057;7.98788;151.205;0.90874
6.21287;12 8 16 4096 32 2 3 0 0;0.944057;6.58103;125.998;0.908739
7.94896;12 8 16 4096 32 2 3 1 0;0.944057;8.42;158.863;0.908743
13.8666;12 8 16 4096 32 32 0 0 0;0.942776;14.7083;218.879;0.733962
12.6294;12 8 16 4096 32 32 0 0 1;0.942776;13.396;221.441;0.816065
11.7741;12 8 16 4096 32 32 0 1 0;0.942776;12.4887;223.937;0.886029
14.3749;12 8 16 4096 32 32 0 10 0;0.942776;15.2474;269.462;0.887386
14.6698;12 8 16 4096 32 32 0 11 0;0.942776;15.5602;274.52;0.887386
14.9655;12 8 16 4096 32 32 0 12 0;0.942776;15.8739;279.578;0.887386
15.262;12 8 16 4096 32 32 0 13 0;0.942776;16.1884;284.636;0.887386
15.5593;12 8 16 4096 32 32 0 14 0;0.942776;16.5037;289.695;0.887386
15.8573;12 8 16 4096 32 32 0 15 0;0.942776;16.8198;294.753;0.887386
16.1561;12 8 16 4096 32 32 0 16 0;0.942776;17.1367;299.811;0.887386
16.4556;12 8 16 4096 32 32 0 17 0;0.942776;17.4544;304.869;0.887386
16.7559;12 8 16 4096 32 32 0 18 0;0.942776;17.773;309.928;0.887386
17.057;12 8 16 4096 32 32 0 19 0;0.942776;18.0923;314.986;0.887386
12.0439;12 8 16 4096 32 32 0 2 0;0.942776;12.775;228.996;0.887378
17.3588;12 8 16 4096 32 32 0 20 0;0.942776;18.4124;320.044;0.887386
17.6613;12 8 16 4096 32 32 0 21 0;0.942776;18.7333;325.102;0.887386
17.9647;12 8 16 4096 32 32 0 22 0;0.942776;19.0551;330.161;0.887386
18.2687;12 8 16 4096 32 32 0 23 0;0.942776;19.3776;335.219;0.887386
18.5735;12 8 16 4096 32 32 0 24 0;0.942776;19.7008;340.277;0.887386
18.879;12 8 16 4096 32 32 0 25 0;0.942776;20.0249;345.335;0.887386
19.1853;12 8 16 4096 32 32 0 26 0;0.942776;20.3498;350.394;0.887386
19.4923;12 8 16 4096 32 32 0 27 0;0.942776;20.6754;355.452;0.887386
19.8;12 8 16 4096 32 32 0 28 0;0.942776;21.0018;360.51;0.887386
20.1085;12 8 16 4096 32 32 0 29 0;0.942776;21.329;365.568;0.887386
12.3324;12 8 16 4096 32 32 0 3 0;0.942776;13.081;234.054;0.887386
20.4177;12 8 16 4096 32 32 0 30 0;0.942776;21.657;370.626;0.887386
20.7276;12 8 16 4096 32 32 0 31 0;0.942776;21.9857;375.685;0.887386
12.6218;12 8 16 4096 32 32 0 4 0;0.942776;13.3879;239.112;0.887386
12.912;12 8 16 4096 32 32 0 5 0;0.942776;13.6957;244.17;0.887386
13.203;12 8 16 4096 32 32 0 6 0;0.942776;14.0044;249.229;0.887386
13.4948;12 8 16 4096 32 32 0 7 0;0.942776;14.3139;254.287;0.887386
13.7874;12 8 16 4096 32 32 0 8 0;0.942776;14.6242;259.345;0.887386
14.0807;12 8 16 4096 32 32 0 9 0;0.942776;14.9354;264.403;0.887386
12.2709;12 8 16 4096 32 32 1 0 0;0.942776;13.0157;233.452;0.889353
12.3193;12 8 16 4096 32 32 1 1 0;0.942776;13.0671;238.932;0.908433
15.1152;12 8 16 4096 32 32 1 10 0;0.942776;16.0326;288.25;0.908469
15.4304;12 8 16 4096 32 32 1 11 0;0.942776;16.3669;293.73;0.908469
15.7464;12 8 16 4096 32 32 1 12 0;0.942776;16.7022;299.21;0.908469
16.0633;12 8 16 4096 32 32 1 13 0;0.942776;17.0383;304.689;0.908469
16.3811;12 8 16 4096 32 32 1 14 0;0.942776;17.3754;310.169;0.908469
16.6997;12 8 16 4096 32 32 1 15 0;0.942776;17.7134;315.649;0.908469
17.0193;12 8 16 4096 32 32 1 16 0;0.942776;18.0523;321.129;0.908469
17.3396;12 8 16 4096 32 32 1 17 0;0.942776;18.3921;326.608;0.908469
17.6608;12 8 16 4096 32 32 1 18 0;0.942776;18.7328;332.088;0.908469
17.9829;12 8 16 4096 32 32 1 19 0;0.942776;19.0744;337.568;0.908469
12.6259;12 8 16 4096 32 32 1 2 0;0.942776;13.3923;244.412;0.908469
18.3058;12 8 16 4096 32 32 1 20 0;0.942776;19.4169;343.048;0.908469
18.6296;12 8 16 4096 32 32 1 21 0;0.942776;19.7604;348.527;0.908469
18.9542;12 8 16 4096 32 32 1 22 0;0.942776;20.1047;354.007;0.908469
19.2797;12 8 16 4096 32 32 1 23 0;0.942776;20.4499;359.487;0.908469
19.606;12 8 16 4096 32 32 1 24 0;0.942776;20.796;364.967;0.908469
19.9331;12 8 16 4096 32 32 1 25 0;0.942776;21.143;370.447;0.908469
20.261;12 8 16 4096 32 32 1 26 0;0.942776;21.4908;375.926;0.908469
20.5898;12 8 16 4096 32 32 1 27 0;0.942776;21.8396;381.406;0.908469
20.9194;12 8 16 4096 32 32 1 28 0;0.942776;22.1892;386.886;0.908469
21.2499;12 8 16 4096 32 32 1 29 0;0.942776;22.5397;392.366;0.908469
12.9339;12 8 16 4096 32 32 1 3 0;0.942776;13.719;249.892;0.908469
21.5811;12 8 16 4096 32 32 1 30 0;0.942776;22.891;397.845;0.908469
21.9132;12 8 16 4096 32 32 1 31 0;0.942776;23.2433;403.325;0.908469
13.2428;12 8 16 4096 32 32 1 4 0;0.942776;14.0466;255.371;0.908469
13.5526;12 8 16 4096 32 32 1 5 0;0.942776;14.3752;260.851;0.908469
13.8634;12 8 16 4096 32 32 1 6 0;0.942776;14.7048;266.331;0.908469
14.175;12 8 16 4096 32 32 1 7 0;0.942776;15.0354;271.811;0.908469
14.4875;12 8 16 4096 32 32 1 8 0;0.942776;15.3668;277.291;0.908469
14.8009;12 8 16 4096 32 32 1 9 0;0.942776;15.6993;282.77;0.908469
12.8472;12 8 16 4096 32 32 2 0 0;0.942776;13.627;248.026;0.907173
13.0507;12 8 16 4096 32 32 2 0 1;0.942776;13.8428;250.587;0.903065
13.1574;12 8 16 4096 32 32 2 1 0;0.942776;13.956;253.927;0.90874
16.1946;12 8 16 4096 32 32 2 10 0;0.942776;17.1776;307.039;0.90874
16.5372;12 8 16 4096 32 32 2 11 0;0.942776;17.5409;312.94;0.90874
16.8807;12 8 16 4096 32 32 2 12 0;0.942776;17.9053;318.841;0.90874
17.2253;12 8 16 4096 32 32 2 13 0;0.942776;18.2708;324.742;0.90874
17.5708;12 8 16 4096 32 32 2 14 0;0.942776;18.6373;330.644;0.90874
17.9174;12 8 16 4096 32 32 2 15 0;0.942776;19.0049;336.545;0.90874
18.2649;12 8 16 4096 32 32 2 16 0;0.942776;19.3735;342.446;0.90874
18.6134;12 8 16 4096 32 32 2 17 0;0.942776;19.7432;348.348;0.90874
18.9629;12 8 16 4096 32 32 2 18 0;0.942776;20.1139;354.249;0.90874
19.3133;12 8 16 4096 32 32 2 19 0;0.942776;20.4856;360.15;0.90874
13.4907;12 8 16 4096 32 32 2 2 0;0.942776;14.3095;259.828;0.90874
19.6648;12 8 16 4096 32 32 2 20 0;0.942776;20.8584;366.051;0.90874
20.0172;12 8 16 4096 32 32 2 21 0;0.942776;21.2321;371.953;0.90874
20.3705;12 8 16 4096 32 32 2 22 0;0.942776;21.6069;377.854;0.90874
20.7248;12 8 16 4096 32 32 2 23 0;0.942776;21.9828;383.755;0.90874
21.0801;12 8 16 4096 32 32 2 24 0;0.942776;22.3596;389.657;0.90874
21.4363;12 8 16 4096 32 32 2 25 0;0.942776;22.7375;395.558;0.90874
