 ( 0.943633 + ( -8.16889e-06 * ( ( 248.337 * ( ( ( ( ( 7.00892 * ( x5 * x1 ) ) - ( 14.025 * x1 ) ) )^2 ^ ( ( 21.6867 * x8 ) ^ ( 52.3798 * x7 ) ) ) / ( ( 152.534 * x1 ) + ( 72.3817 * ( ( ( 4266 * x2 ) + ( ( 3844.04 * x1 ) + ( -509.04 * ( x1 * x1 ) ) ) ) / x1 ) ) ) ) ) + ( ( ( -52.4316 * ( ( ( 76.6834 * x7 ) + ( 33.266 * x2 ) ) / x1 ) ) - ( -1119.33 * x1 ) ) + ( -12.6176 * ( x1 * x1 ) ) ) ) ) )  :  0.0212122 at 19
 ( 1.00746 + ( 20.631 * ( ( 6.55459e-06 * ( x1 * x1 ) ) + ( ( 0.0431707 * ( ( ( 90.0224 * x7 ) + ( -1.53209 * x2 ) ) / ( ( 87.9879 * ( x5 * x1 ) ) - ( 91.6143 * x1 ) ) ) ) + ( -0.000596469 * x1 ) ) ) ) )  :  0.0218705 at 19
 ( 1.00344 + ( -0.000219841 * ( ( -0.589834 * ( x1 * x1 ) ) + ( ( 110.387 * ( ( ( -436.223 * x7 ) + ( ( ( -320.687 * ( x1 / x1 ) ) + ( 53.6794 * x1 ) ) + ( -0.733536 * ( x1 * x1 ) ) ) ) / ( ( 12.1861 * ( x5 * x1 ) ) - ( 13.5538 * x1 ) ) ) ) + ( 53.6645 * x1 ) ) ) ) )  :  0.0169412 at 21
 ( 1.89033 + ( -7.47073e-05 * ( ( 45.0081 * x1 ) + ( ( 96.08 * x1 ) + ( ( ( 196.447 * ( ( ( -205.987 * ( ( ( -4905.58 * x7 ) + ( ( ( -1455.13 * ( x1 / x1 ) ) + ( 223.95 * x1 ) ) + ( -2.73445 * ( x1 * x1 ) ) ) ) / ( ( -358.168 * ( x5 * x1 ) ) - ( -401.719 * x1 ) ) ) ) + ( 63.462 * x1 ) ) / x1 ) ) + ( 5.22007 * ( ( ( -76.792 * ( ( ( -37.8284 * x7 ) + ( -3.90699 * x2 ) ) / x1 ) ) + ( -91.2958 * x2 ) ) / x1 ) ) ) + ( -1.59987 * ( x1 * x1 ) ) ) ) ) ) )  :  0.0163596 at 22
 ( 1.00345 + ( -0.00125751 * ( ( -0.103119 * ( x1 * x1 ) ) + ( ( 121.243 * ( ( ( -262.893 * x7 ) + ( ( ( -193.317 * ( x1 / x1 ) ) + ( 32.3592 * x1 ) ) + ( -0.442193 * ( x1 * x1 ) ) ) ) / ( ( 46.1462 * ( x5 * x1 ) ) - ( 51.3263 * x1 ) ) ) ) + ( 9.382 * x1 ) ) ) ) )  :  0.0169411 at 22
 ( 0.415819 + ( 0.0246796 * ( ( 74.6811 * ( x1 * ( ( -1.32029 * ( x1 / x1 ) ) + ( 48.8746 * ( ( ( ( 138.261 * x1 ) + ( -35.0808 * x2 ) ) / ( ( ( 0.150888 * ( x5 * x1 ) ) - ( -34.9937 * x1 ) ) )^2 ) / x1 ) ) ) ) ) + ( ( 9.17092 * ( ( ( 108.181 * x7 ) + ( ( ( 12.3686 * ( x1 / ( ( 57.5392 * x1 ) + ( 95.7407 * x2 ) ) ) ) + ( -53.1825 * x1 ) ) + ( -3.85017 * ( x1 * ( ( ( -7.37784 * x2 ) + ( ( ( 58.8485 * ( x1 / x1 ) ) + ( 142.073 * x1 ) ) + ( -2.05055 * ( x1 * x1 ) ) ) ) / ( ( 5.34731 * ( x5 * x1 ) ) - ( 6.64633 * x1 ) ) ) ) ) ) ) / ( ( 20.6113 * ( x5 * x1 ) ) - ( -186.482 * x1 ) ) ) ) + ( 98.7703 * x1 ) ) ) ) )  :  0.0148166 at 24
 ( 0.339035 + ( -9.37291e-06 * ( ( 192.248 * x1 ) + ( ( 104.261 * x1 ) + ( ( ( -440.848 * ( ( ( 443.279 * ( ( ( 3863.73 * x7 ) + ( ( ( 1146.28 * ( x1 / x1 ) ) + ( -176.411 * x1 ) ) + ( 2.15401 * ( x1 * x1 ) ) ) ) / ( ( 170.925 * ( x5 * x1 ) ) - ( 191.711 * x1 ) ) ) ) + ( 96.8979 * x1 ) ) / x1 ) ) + ( 61.2951 * ( ( ( 5.08153 * ( ( ( 388.031 * x7 ) + ( 264.028 * x2 ) ) / x1 ) ) + ( -347.614 * x2 ) ) / x1 ) ) ) + ( -0.0707758 * ( ( x1 * x1 ) * x1 ) ) ) ) ) ) )  :  0.0163558 at 24
 ( -0.105364 + ( 0.00297695 * ( ( 2.02831 * ( ( ( 37.7918 * ( ( ( -152.908 * x7 ) + ( ( ( -46.9937 * ( ( ( -26.4712 * x1 ) + ( 65.2269 * x2 ) ) / ( ( 98.7404 * x5 ) + ( -7.8888 * x1 ) ) ) ) - ( ( 40.7126 * x8 ) ^ ( 30.3871 * x7 ) ) ) + ( -42.7449 * ( x1 * x1 ) ) ) ) / ( ( ( 126.555 * ( ( ( 165.613 * x7 ) + ( ( 65.7307 * x1 ) + ( ( 10.4777 * ( ( ( -128.26 * x7 ) + ( 14.5032 * x2 ) ) / x1 ) ) + ( 0.659227 * ( x1 / ( x1 / x3 ) ) ) ) ) ) / ( ( 0.747608 * ( x5 * x1 ) ) - ( -178.39 * x1 ) ) ) ) + ( 37.4421 * x1 ) ) / x1 ) ) ) + ( 84.6051 * x7 ) ) / x1 ) ) + ( 89.5447 * x1 ) ) ) )  :  0.0147478 at 26
 ( 9.43573 + ( -0.000763925 * ( ( -3.65978 * x1 ) + ( 106.901 * ( ( ( ( -108.581 * ( ( ( 236.274 * x7 ) + ( ( 0.311752 * x1 ) + ( ( 5.60102 * ( ( ( -341.592 * x7 ) + ( -0.158257 * x2 ) ) / x1 ) ) + ( 0.00289902 * ( x1 / ( ( ( ( 68.9727 * x7 ) + ( -12.9588 * x2 ) ) / ( ( 105.306 * ( ( ( -214.48 * x7 ) + ( 7.77031 * x1 ) ) / ( x1 * x1 ) ) ) + ( 0.00113678 * ( x1 * x1 ) ) ) ) / x3 ) ) ) ) ) ) / ( ( 46.054 * ( x5 * x1 ) ) - ( 49.729 * x1 ) ) ) ) + ( 108.881 * x1 ) ) + ( -2.96581 * x2 ) ) / x1 ) ) ) ) )  :  0.0126488 at 26
 ( 63.4859 + ( -0.0102445 * ( ( -0.176283 * x1 ) + ( 87.9186 * ( ( ( ( 99.8333 * ( ( ( -14.7582 * x7 ) + ( ( 63.913 * x1 ) + ( ( 92.6859 * ( ( ( ( 0.939372 * ( ( ( 98.5051 * x7 ) + ( 20.307 * x2 ) ) / ( ( 5.16582 * ( x5 * x1 ) ) - ( 82.8956 * x1 ) ) ) ) + ( -0.712673 * x1 ) ) * x1 ) / x1 ) ) + ( 64.9506 * ( x1 / x1 ) ) ) ) ) / ( ( 3.49553 * ( x5 * ( x1 * x1 ) ) ) - ( 63.0106 * x1 ) ) ) ) + ( 69.8069 * x1 ) ) + ( -0.0379303 * ( ( ( 82.7055 * x1 ) + ( 11.8979 * x2 ) ) / x1 ) ) ) / x1 ) ) ) ) )  :  0.0120093 at 30
